"Date","Price","Open","High","Low","Vol.","Change %"
"05/02/2016","178.02","177.03","178.44","177.00","2.32M","0.48%"
"04/29/2016","177.17","178.30","178.60","176.85","2.94M","-1.13%"
"04/28/2016","179.19","178.58","179.32","177.34","2.22M","0.29%"
"04/27/2016","178.68","178.67","179.40","177.92","2.16M","-0.03%"
"04/26/2016","178.73","176.48","179.29","176.48","2.68M","1.34%"
"04/25/2016","176.36","174.25","176.49","174.25","2.27M","1.29%"
"04/22/2016","174.12","175.18","175.43","173.71","2.19M","-0.96%"
"04/21/2016","175.81","178.51","178.62","175.07","2.46M","-1.58%"
"04/20/2016","178.64","178.11","178.72","177.66","2.27M","0.22%"
"04/19/2016","178.24","177.32","178.84","176.77","2.52M","0.86%"
"04/18/2016","176.72","176.68","177.32","175.72","2.37M","-0.24%"
"04/15/2016","177.14","178.48","178.54","177.14","2.71M","-0.66%"
"04/14/2016","178.31","180.03","180.27","177.94","2.58M","-1.16%"
"04/13/2016","180.40","178.58","180.40","178.58","2.30M","1.61%"
"04/12/2016","177.55","178.69","178.69","176.69","2.41M","-0.65%"
"04/11/2016","178.72","177.68","179.22","176.56","2.06M","0.65%"
"04/08/2016","177.56","175.32","178.38","175.32","1.85M","1.29%"
"04/07/2016","175.30","176.34","177.08","174.73","2.02M","-0.69%"
"04/06/2016","176.51","175.62","176.59","175.14","2.10M","0.64%"
"04/05/2016","175.38","174.96","175.71","174.41","2.57M","-0.35%"
"04/04/2016","175.99","175.67","176.93","174.44","1.99M","0.20%"
"04/01/2016","175.63","177.12","177.12","174.27","2.29M","-1.09%"
"03/31/2016","177.57","178.19","178.25","176.61","2.51M","-0.59%"
"03/30/2016","178.62","177.48","178.76","177.48","2.01M","1.01%"
"03/29/2016","176.84","174.29","176.84","174.29","1.99M","1.83%"
"03/24/2016","173.67","175.76","175.95","173.60","1.93M","-1.49%"
"03/23/2016","176.29","176.93","177.29","175.41","1.97M","-0.30%"
